   -1.508     -1.418   -1.428     -1.265  -1.361     -1.115	  -1.303     -1.011  -1.252    -0.9646  -1.206     -0.942    -1.165    -0.9404	   -1.127    -0.9714	  -1.093     -1.005	   -1.06     -1.027	    -1.03     -1.068 
   -1.383     -1.634   -1.303     -1.469  -1.236     -1.306	  -1.178     -1.198  -1.127     -1.146  -1.082     -1.116     -1.04     -1.101	   -1.002     -1.132	 -0.9678     -1.189	 -0.9355     -1.224	  -0.9055     -1.227 
   -1.303     -1.793   -1.224     -1.593  -1.157     -1.430	  -1.099     -1.317  -1.048     -1.258  -1.002     -1.241    -0.961     -1.235	  -0.9234     -1.206	 -0.8884     -1.173	 -0.8564     -1.178	  -0.8262      -1.239
   -1.206     -1.883   -1.127     -1.688   -1.06     -1.517	  -1.002     -1.410 -0.9512     -1.348 -0.9055     -1.295   -0.8642     -1.253	  -0.8262     -1.271	 -0.7916     -1.339	 -0.7595     -1.446	  -0.7293     -1.563 
   -1.082     -2.045   -1.002     -1.858 -0.9355     -1.690	 -0.8775     -1.567 -0.8262     -1.541 -0.7804     -1.576   -0.7392     -1.673	  -0.7014     -1.808	 -0.6666     -1.907	 -0.6343     -1.981	  -0.6045     -2.021 
  -0.9846     -2.269  -0.9055     -2.063 -0.8386     -1.915	 -0.7804     -1.834 -0.7293     -1.872 -0.6836     -1.935   -0.6423     -1.973	  -0.6045     -2.013	 -0.5698     -2.006	 -0.5375     -1.994	  -0.5075     -1.999 
  -0.8598     -2.429  -0.7804     -2.226 -0.7135     -2.077	 -0.6556     -1.991 -0.6045     -2.004 -0.5586     -2.038   -0.5173     -2.058	  -0.4795     -2.084	 -0.4448     -2.078    -0.4125     -2.067	  -0.3826     -2.078 
  -0.8085     -2.453  -0.7293     -2.251 -0.6623     -2.103	 -0.6045     -2.013 -0.5533     -2.010 -0.5075     -2.026   -0.4661     -2.036	  -0.4283     -2.055	 -0.3936     -2.048	 -0.3614     -2.039	  -0.3314     -2.053 
  -0.7314     -2.423  -0.6523     -2.224 -0.5854     -2.075	 -0.5274     -1.980 -0.4763     -1.948 -0.4305     -1.939   -0.3891     -1.935	  -0.3513     -1.944	 -0.3166     -2.048	 -0.2844     -1.930	  -0.2545     -1.948 
  -0.6688     -2.437  -0.5897     -2.234 -0.5227     -2.083	 -0.4647     -1.984 -0.4136     -1.943 -0.3678     -1.929   -0.3265     -1.907	  -0.2887     -1.907	 -0.2539     -1.911	 -0.2217     -1.922	  -0.1918     -1.951 
  -0.5597     -2.408  -0.4795     -2.204 -0.4136     -2.056	 -0.3556     -1.953 -0.3044     -1.893 -0.2587     -1.866   -0.2173     -1.868	  -0.1795     -1.891	 -0.1448     -1.921	 -0.1115     -1.956	 -0.08265     -2.005 
  -0.4713     -2.362  -0.3921     -2.169 -0.3251     -2.022	 -0.2672     -1.924 -0.2160     -1.880 -0.1702     -1.872   -0.1289     -1.896	 -0.08155     -1.934  -0.05637     -1.968	-0.02462     -2.001	  0.01536      -2.130 
  -0.3792     -2.336  -0.3000     -2.143 -0.2331     -2.012	 -0.1751     -1.937 -0.1240     -1.914 -0.07825     -1.927  -0.04015     -1.952	-0.002395     -1.985	 0.03572     -2.015	 0.06876     -2.053	  0.09783     -2.103 
  -0.1359     -2.390  -0.0567     -2.250  0.0100     -2.262	 0.06819     -2.121  0.1193     -2.115  0.1652     -2.138    0.2066      -2.16	   0.2443     -2.175	   0.272     -2.188	  0.3042     -2.216	   0.3342     -2.254 
 -0.01936     -2.492  0.05195     -2.355  0.1268     -2.295	  0.1847     -2.262  0.2358     -2.263  0.2817     -2.283     0.334     -2.321	   0.3719     -2.349	  0.3877     -2.345	  0.4388     -2.434	   0.4500     -2.466 
  0.09447     -2.638   0.1738     -2.535  0.2405     -2.468	  0.2986     -2.441  0.3499     -2.451  0.3955     -2.503     0.433     -2.550	   0.4708     -2.621	  0.5095     -2.671	  0.5378     -2.683	   0.5717     -2.710 
   0.1915     -2.823   0.2707     -2.718  0.3377     -2.672	  0.3955     -2.675  0.4467     -2.724  0.4925     -2.799    0.5339     -2.827	   0.5717     -2.807	  0.6064      -2.80	  0.6386     -2.793	   0.6686     -2.791 
   0.3541     -3.141   0.4334     -3.105  0.5004     -3.093 	  0.5583     -3.050  0.6095     -3.011  0.6552     -2.963    0.6966     -2.816	   0.7344     -2.840	  0.7692     -2.793	  0.8013     -2.760	   0.8313     -2.744 
   0.4925      -3.54   0.5717     -3.440  0.6386     -3.352	  0.6966     -3.236  0.7477     -3.148  0.7935     -3.079    0.8349     -3.023	   0.8727     -2.985	  0.9075     -2.966	  0.9396     -2.974	   0.9696     -3.018 
   0.7935     -4.166   0.8727     -4.038  0.9396     -3.971	  0.9976     -3.939   1.049     -3.921   1.094     -3.879     1.136     -3.777	    1.174     -3.661	   1.208     -3.573	   1.241     -3.530	    1.271     -3.501 
